title,year,citation_count,llm_relevance_score,doi,source,llm_reasoning
Formal Analysis of Composable DeFi Protocols,2021,0,60,,arxiv,"This paper discusses the formal analysis of DeFi protocols, which is moderately relevant. Understanding the composability and potential vulnerabilities of DeFi protocols can indirectly inform the understanding of liquidation cascades, but it's not the primary focus."
A theory of Lending Protocols in DeFi,2025,0,60,,arxiv,"This paper is moderately relevant. While it discusses lending protocols in DeFi, it doesn't explicitly focus on liquidation cascades. However, understanding lending protocols is crucial for understanding how liquidations occur, so it provides some background information."
Explicit size distributions of failure cascades redefine systemic risk on finite networks,2018,0,60,,arxiv,"This paper discusses failure cascades in networks and predicting cascade size. While it doesn't specifically focus on cryptocurrency or DeFi, the general concepts of network cascades and systemic risk are relevant to understanding liquidation cascades in DeFi protocols. Therefore, it is moderately relevant."
"Decentralized Finance: Protocols, Risks, and Governance",2023,0,60,,arxiv,"This paper provides a general overview of Decentralized Finance (DeFi), including protocols, risks, and governance. While it doesn't directly address liquidation cascades, it sets the stage by discussing the DeFi landscape and potential risks, making it moderately relevant."
Detecting Various DeFi Price Manipulations with LLM Reasoning,2025,0,55,,arxiv,"This paper focuses on detecting price manipulations in DeFi. While price manipulation can trigger liquidations, the paper's primary focus isn't on the cascade mechanisms themselves, making it moderately relevant."
Is decentralized finance actually decentralized? A social network analysis of the Aave protocol on the Ethereum blockchain,2022,0,55,,arxiv,"This paper examines the decentralization of the Aave protocol. While not directly about liquidation cascades, the degree of decentralization can influence the protocol's vulnerability to such events and its ability to respond. Therefore, it's moderately relevant."
Decentralized Finance (DeFi),2023,0,55,10.26450/jshsr.3445,arxiv,"Similar to paper 2, this paper provides a general overview of DeFi. It explains the concept and differences from traditional finance but does not delve into the specifics of liquidation cascades. Therefore, it's moderately relevant."
DeFiTail: DeFi Protocol Inspection through Cross-Contract Execution Analysis,2024,0,50,,arxiv,"This paper focuses on detecting malicious events in DeFi protocols through cross-contract execution analysis. While it doesn't directly address liquidation cascades, it's moderately relevant as it deals with security and vulnerabilities in DeFi, which can be related to cascade events."
FORAY: Towards Effective Attack Synthesis against Deep Logical Vulnerabilities in DeFi Protocols,2024,0,50,10.1145/3658644.3690293,arxiv,"This paper focuses on attack synthesis against deep logical vulnerabilities in DeFi protocols. Similar to paper 2, it's moderately relevant because it addresses vulnerabilities in DeFi that could potentially trigger or exacerbate liquidation cascades, but it doesn't directly study the cascades themselves."
Penetrating the Hostile: Detecting DeFi Protocol Exploits through Cross-Contract Analysis,2025,0,50,,arxiv,"This paper discusses DeFi exploits in general, which could potentially lead to liquidation cascades, but it doesn't directly address the mechanisms of such cascades. Therefore, it's moderately relevant."
Regulating Cryptocurrency and Decentralized Finance for an Inclusive Economy,2024,0,45,,arxiv,"This paper discusses the regulation of cryptocurrency and DeFi. While regulation can impact the likelihood and severity of liquidation cascades, the paper's primary focus is broader than the specific mechanisms of these cascades. It is tangentially related."
"Editorial to special issue “Hidden market linkages between Bitcoin, cryptocurrencies and financial markets: Evidence from high-frequency data and higher-order moments” in financial innovation",2023,1,40,10.1186/s40854-023-00560-9,semantic_scholar,"This paper discusses linkages between cryptocurrencies and financial markets. While it acknowledges the complexity of the crypto ecosystem, it doesn't directly address the mechanisms of liquidation cascades in DeFi protocols, making it only tangentially relevant."
A Short Survey on Business Models of Decentralized Finance (DeFi) Protocols,2022,0,40,10.1007/978-3-031-32415-4_13,arxiv,"This paper is tangentially related. It provides a general overview of DeFi business models, which can indirectly help understand the context in which liquidation cascades occur. However, it doesn't specifically address the mechanisms of liquidation cascades."
"Decentralized Finance, Centralized Ownership? An Iterative Mapping Process to Measure Protocol Token Distribution",2020,0,40,,arxiv,"This paper analyzes token distribution in DeFi protocols. While token distribution can indirectly influence liquidation events, the paper's primary focus is not on liquidation mechanisms or cascades, making it tangentially related."
Exploring the Interconnectedness of Cryptocurrencies using Correlation Networks,2018,0,35,,arxiv,"This paper explores the interconnectedness of cryptocurrencies using correlation networks. While interconnectedness can contribute to cascading effects, it doesn't directly address the mechanisms of liquidation cascades in DeFi protocols."
How Decentralized is the Governance of Blockchain-based Finance: Empirical Evidence from four Governance Token Distributions,2021,0,35,,arxiv,"This paper focuses on the decentralization of governance in blockchain-based finance, which is tangentially related to the mechanisms of liquidation cascades. While governance structures can influence how protocols respond to and manage liquidations, the paper doesn't directly address the cascade mechanisms themselves."
FairDAG: Consensus Fairness over Multi-Proposer Causal Design,2025,1,30,,semantic_scholar,"This paper focuses on consensus mechanisms and fairness in transaction ordering, which is tangentially related to liquidation cascades. While transaction ordering can be exploited, the paper's primary focus is not on the mechanisms of liquidations themselves."
IT Strategic alignment in the decentralized finance (DeFi): CBDC and digital currencies,2024,0,30,,arxiv,"This paper discusses CBDCs and digital currencies in the context of DeFi, which is tangentially related to the query about liquidation cascades. It doesn't directly address the mechanisms of such cascades."
SoK: Yield Aggregators in DeFi,2021,0,30,10.1109/ICBC54727.2022.9805523,arxiv,"This paper discusses yield aggregators in DeFi, which could indirectly influence liquidation cascades, but it doesn't directly address the mechanisms of such cascades. Therefore, it's tangentially relevant."
